Scenario,Sector,Fuel,Region,2020,2025,2030,2035,2040,2045,2050
BIO,Transport,E-fuel (gas),OTG,0.0,0.0,0.0,0.41,1.87,6.42,16.17
BIO,Transport,E-fuel (gas),TRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,E-fuel (gas),WEL,0.0,0.0,0.0,0.19,0.84,2.87,7.22
BIO,Transport,E-fuel (gas),WTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,Electricity,AKL,41.5,229.92,552.59,1114.99,1636.08,1913.17,1988.96
BIO,Transport,Electricity,BOP,4.01,47.36,124.59,251.53,366.94,429.52,474.9
BIO,Transport,Electricity,CAN,15.64,119.34,303.12,604.74,878.31,1026.28,1067.15
BIO,Transport,Electricity,CEN,3.07,39.44,105.05,209.83,303.86,355.1,366.05
BIO,Transport,Electricity,GIS,0.53,7.42,19.98,39.49,56.78,66.26,68.34
BIO,Transport,Electricity,HBY,2.03,26.43,70.25,140.79,204.22,238.63,252.1
BIO,Transport,Electricity,NEL,2.21,28.32,74.96,150.82,219.32,256.39,265.6
BIO,Transport,Electricity,NIS,2.18,28.39,75.4,151.2,219.4,256.38,264.3
BIO,Transport,Electricity,OTG,4.58,57.28,151.4,304.82,443.59,518.74,539.96
BIO,Transport,Electricity,TRN,1.56,18.92,50.06,100.53,146.16,170.99,176.19
BIO,Transport,Electricity,WEL,36.51,89.97,177.62,332.66,476.85,553.3,570.92
BIO,Transport,Electricity,WTO,5.61,70.64,186.65,376.11,547.5,640.19,659.81
BIO,Transport,Fossil (LF),AKL,17509.31,14420.57,10924.12,5984.16,1946.38,385.83,0.0
BIO,Transport,Fossil (LF),BOP,4280.21,3612.62,2842.95,1678.06,630.28,148.05,0.0
BIO,Transport,Fossil (LF),CAN,9202.51,7613.06,5792.26,3217.25,1081.84,224.13,0.0
BIO,Transport,Fossil (LF),CEN,3040.62,2497.51,1872.97,1016.15,325.32,62.97,0.0
BIO,Transport,Fossil (LF),GIS,598.61,500.29,386.15,221.0,79.42,17.84,0.0
