year,2020,2030,2040,2050,2060,2070,2080,2090,2100
Countrynumber,135,135,135,135,135,135,135,135,135
Countryname,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
annual electricity consumption in TWh,26.05,37.91,50.95,64.67,78.84,90.08,99.66,106.14,109.86
Hour_202 in MW,"3,081.56","4,461.33","5,953.69","7,093.03","8,647.54","10,718.96","11,858.14","11,534.08","11,939.22"
Hour_203 in MW,"3,081.94","4,463.63","5,963.18","7,012.62","8,549.51","10,720.27","11,859.58","11,403.97","11,804.55"
Hour_204 in MW,"3,041.70","4,407.11","5,893.32","6,827.11","8,323.35","10,581.10","11,705.63","11,101.93","11,491.89"
Hour_205 in MW,"2,985.76","4,328.02","5,792.83","6,612.55","8,061.76","10,387.63","11,491.59","10,752.71","11,130.41"
Hour_206 in MW,"2,939.92","4,263.90","5,712.17","6,446.77","7,859.65","10,229.10","11,316.22","10,484.04","10,852.30"
Hour_207 in MW,"2,923.19","4,242.43","5,688.50","6,387.15","7,786.96","10,171.25","11,252.22","10,390.01","10,754.97"
Hour_208 in MW,"2,942.19","4,273.20","5,734.72","6,454.27","7,868.79","10,236.94","11,324.89","10,504.39","10,873.36"
Hour_209 in MW,"2,989.17","4,344.94","5,835.64","6,626.08","8,078.26","10,399.37","11,504.58","10,790.92","11,169.96"
Hour_210 in MW,"3,044.22","4,428.67","5,952.33","6,844.04","8,343.99","10,589.72","11,715.16","11,153.46","11,545.23"
Hour_211 in MW,"3,081.09","4,486.18","6,033.39","7,029.67","8,570.30","10,717.19","11,856.18","11,463.16","11,865.81"
Hour_212 in MW,"3,140.69","4,567.62","6,139.74","7,242.11","8,829.30","10,881.15","12,037.57","11,813.00","12,227.94"
Hour_213 in MW,"3,178.80","4,612.65","6,193.08","7,371.44","8,986.96","10,946.80","12,110.20","12,024.26","12,446.62"
Hour_214 in MW,"3,052.16","4,433.02","5,954.35","7,115.00","8,674.33","10,509.60","11,626.53","11,608.81","12,016.58"
Hour_215 in MW,"2,776.99","4,052.07","5,454.77","6,510.79","7,937.70","9,624.61","10,647.48","10,628.85","11,002.20"
Hour_216 in MW,"2,524.08","3,697.97","4,986.97","5,925.81","7,224.52","8,790.96","9,725.24","9,677.95","10,017.90"
Hour_217 in MW,"2,352.31","3,452.96","4,659.13","5,503.72","6,709.92","8,196.95","9,068.10","8,990.37","9,306.16"
Hour_218 in MW,"2,231.38","3,282.03","4,430.54","5,205.27","6,346.06","7,778.74","8,605.44","8,505.56","8,804.32"
Hour_219 in MW,"2,185.35","3,220.19","4,348.26","5,097.12","6,214.21","7,619.55","8,429.34","8,332.85","8,625.55"
Hour_220 in MW,"2,222.78","3,279.86","4,429.00","5,203.42","6,343.80","7,748.98","8,572.52","8,511.83","8,810.82"
Hour_221 in MW,"2,334.63","3,447.86","4,655.06","5,722.33","6,976.44","8,135.75","9,000.39","9,002.31","9,318.53"
Hour_222 in MW,"2,496.54","3,688.72","4,978.80","6,135.50","7,480.17","8,695.63","9,619.77","9,694.69","10,035.22"
Hour_223 in MW,"2,674.93","3,953.56","5,334.51","6,589.89","8,034.13","9,312.50","10,302.21","10,437.95","10,804.60"
Hour_224 in MW,"2,835.28","4,192.11","5,654.65","6,999.73","8,533.79","9,866.97","10,915.60","11,077.96","11,467.08"
Hour_225 in MW,"2,950.38","4,364.78","5,886.03","7,297.50","8,896.82","10,264.99","11,355.92","11,495.79","11,899.59"
Hour_226 in MW,"3,006.54","4,451.60","6,001.82","7,449.15","9,081.70","10,459.19","11,570.76","11,636.18","12,044.91"
Hour_227 in MW,"3,006.00","4,455.81","6,006.42","7,460.20","9,095.19","10,457.30","11,568.67","11,518.62","11,923.23"
Hour_228 in MW,"2,965.11","4,401.18","5,931.79","7,371.22","8,986.70","10,315.87","11,412.21","11,228.42","11,622.82"
Hour_229 in MW,"2,908.78","4,323.94","5,826.68","7,244.03","8,831.63","10,121.07","11,196.70","10,890.27","11,272.80"
Hour_230 in MW,"2,862.82","4,261.62","5,741.56","7,142.65","8,708.04","9,962.14","11,020.88","10,631.89","11,005.34"
Hour_231 in MW,"2,846.25","4,241.86","5,713.62","7,114.25","8,673.42","9,904.81","10,957.47","10,547.33","10,917.81"
Hour_232 in MW,"2,865.67","4,274.25","5,755.78","7,175.20","8,747.72","9,971.95","11,031.74","10,670.32","11,045.13"
Hour_233 in MW,"2,913.32","4,347.49","5,852.89","7,306.21","8,907.44","10,136.73","11,214.03","10,964.60","11,349.74"
Hour_234 in MW,"2,969.31","4,432.59","5,966.00","7,457.82","9,092.28","10,330.31","11,428.19","11,334.01","11,732.13"
Hour_235 in MW,"3,007.35","4,491.29","6,043.73","7,564.78","9,222.68","10,461.83","11,573.68","11,649.60","12,058.81"
Hour_236 in MW,"3,059.12","4,561.44","6,131.24","7,681.01","9,364.38","10,603.77","11,730.70","11,972.79","12,393.34"
Hour_237 in MW,"3,098.37","4,606.32","6,180.25","7,745.81","9,443.39","10,672.11","11,806.31","12,184.58","12,612.58"
Hour_238 in MW,"2,978.93","4,434.34","5,947.91","7,459.54","9,094.38","10,256.36","11,346.38","11,789.93","12,204.06"
Hour_239 in MW,"2,709.57","4,059.08","5,453.08","6,846.44","8,346.91","9,390.61","10,388.62","10,826.42","11,206.71"
Hour_240 in MW,"2,459.77","3,706.53","4,985.24","6,265.45","7,638.59","8,568.20","9,478.80","9,880.83","10,227.90"
Hour_241 in MW,"2,290.51","3,461.58","4,655.93","5,856.50","7,140.01","7,982.84","8,831.24","9,193.87","9,516.81"
Hour_242 in MW,"2,172.25","3,290.49","4,426.18","5,573.87","6,795.44","7,573.91","8,378.84","8,708.85","9,014.75"
Hour_243 in MW,"2,129.07","3,228.26","4,343.05","5,477.25","6,677.64","7,424.57","8,213.63","8,535.11","8,834.92"
Hour_244 in MW,"2,076.72","3,287.30","4,423.26","5,587.82","6,812.44","7,243.50","8,013.32","8,712.29","9,018.31"
Hour_245 in MW,"2,194.80","3,454.43","4,649.11","5,883.05","7,172.39","7,651.83","8,465.04","9,565.61","9,901.61"
Hour_246 in MW,"2,362.52","3,694.19","4,972.93","6,302.44","7,683.69","8,231.79","9,106.64","10,244.30","10,604.14"
Hour_247 in MW,"2,542.81","3,957.69","5,329.03","6,762.56","8,244.65","8,855.25","9,796.36","10,989.54","11,375.56"
Hour_248 in MW,"2,697.85","4,194.67","5,649.84","7,177.64","8,750.69","9,391.38","10,389.47","11,660.60","12,070.19"
Hour_249 in MW,"2,798.46","4,365.53","5,882.14","7,480.10","9,119.45","9,739.28","10,774.35","12,146.64","12,573.30"
Hour_250 in MW,"2,831.08","4,450.32","5,999.13","7,635.89","9,309.37","9,852.06","10,899.11","12,391.81","12,827.08"
Hour_251 in MW,"2,800.50","4,452.29","6,005.15","7,650.50","9,327.19","9,746.29","10,782.09","12,405.20","12,840.94"
Hour_252 in MW,"2,727.65","4,395.20","5,932.16","7,564.46","9,222.30","9,494.34","10,503.38","12,253.38","12,683.79"
Hour_253 in MW,"2,643.14","4,315.31","5,828.89","7,439.59","9,070.06","9,202.11","10,180.08","12,037.87","12,460.71"
Hour_254 in MW,"2,578.33","4,250.15","5,745.79","7,339.90","8,948.52","8,977.95","9,932.10","11,863.80","12,280.53"
Hour_255 in MW,"2,556.29","4,227.37","5,720.02","7,312.54","8,915.16","8,901.73","9,847.78","11,808.61","12,223.39"
Hour_256 in MW,"2,585.31","4,256.59","5,764.49","7,373.86","8,989.92","9,002.07","9,958.78","11,899.20","12,317.17"
Hour_257 in MW,"2,656.49","4,326.51","5,864.01","7,504.58","9,149.29","9,248.18","10,231.05","12,104.00","12,529.16"
Hour_258 in MW,"2,746.21","4,408.17","5,979.61","7,655.24","9,332.97","9,558.45","10,574.30","12,341.88","12,775.40"
Hour_259 in MW,"2,822.85","4,463.32","6,059.88","7,760.58","9,461.39","9,823.45","10,867.45","12,505.80","12,945.07"
Hour_260 in MW,"2,911.49","4,528.78","6,148.61","7,872.85","9,598.27","10,093.30","11,165.98","12,678.08","13,123.40"
Hour_261 in MW,"2,982.44","4,569.82","6,200.02","7,934.45","9,673.37","10,271.18","11,362.77","12,764.80","13,213.17"
Hour_262 in MW,"2,886.33","4,394.68","5,970.98","7,645.52","9,321.11","9,935.79","10,991.73","12,282.93","12,714.38"
Hour_263 in MW,"2,630.60","4,016.10","5,479.25","7,028.96","8,569.43","9,117.13","10,086.07","11,270.56","11,666.45"
Hour_264 in MW,"2,386.21","3,659.88","5,014.00","6,443.32","7,855.45","8,313.45","9,196.98","10,307.32","10,669.37"
Hour_265 in MW,"2,217.40","3,411.16","4,687.00","6,028.92","7,350.22","7,729.67","8,551.16","9,621.91","9,959.88"
Hour_266 in MW,"2,098.24","3,236.34","4,459.42","5,740.26","6,998.29","7,317.59","8,095.29","9,143.66","9,464.84"
Hour_267 in MW,"2,055.57","3,170.43","4,378.31","5,637.04","6,872.46","7,170.00","7,932.01","8,970.62","9,285.72"
Hour_268 in MW,"2,099.10","3,090.87","4,460.37","5,740.49","6,998.58","7,320.51","8,098.51","9,137.64","9,458.60"
Hour_269 in MW,"2,218.96","3,259.04","4,687.86","6,028.12","7,349.24","7,735.00","8,557.06","9,607.83","9,945.31"
Hour_270 in MW,"2,388.27","3,499.16","5,013.09","6,439.42","7,850.68","8,320.47","9,204.75","10,281.94","10,643.10"
Hour_271 in MW,"2,569.97","3,757.34","5,370.35","6,891.02","8,401.26","8,948.77","9,899.82","11,023.15","11,410.35"
Hour_272 in MW,"2,726.22","3,978.57","5,692.05","7,297.18","8,896.43","9,489.07","10,497.54","11,690.74","12,101.39"
Hour_273 in MW,"2,827.83","4,120.39","5,924.97","7,590.36","9,253.87","9,840.46","10,886.28","12,173.91","12,601.53"
Hour_274 in MW,"2,861.27","4,163.11","6,042.27","7,736.55","9,432.10","9,956.06","11,014.16","12,416.81","12,852.96"
Hour_275 in MW,"2,831.30","4,113.72","6,048.29","7,741.28","9,437.86","9,852.42","10,899.51","12,428.54","12,865.11"
Hour_276 in MW,"2,758.88","4,002.72","5,974.97","7,645.13","9,320.64","9,601.98","10,622.45","12,275.70","12,706.90"
Hour_277 in MW,"2,674.63","3,874.67","5,871.03","7,509.94","9,155.82","9,310.59","10,300.09","12,059.79","12,483.40"
Hour_278 in MW,"2,609.88","3,775.21","5,786.92","7,399.78","9,021.53","9,086.66","10,052.37","11,885.95","12,303.46"
Hour_279 in MW,"2,587.73","3,737.98","5,759.78","7,361.85","8,975.27","9,010.07","9,967.63","11,831.61","12,247.21"
Hour_280 in MW,"2,616.48","3,775.03","5,802.53","7,412.53","9,037.06","9,109.45","10,077.58","11,923.68","12,342.51"
Hour_281 in MW,"2,687.22","3,873.46","5,899.97","7,532.59","9,183.43","9,354.07","10,348.19","12,130.53","12,556.63"
Hour_282 in MW,"2,776.36","3,998.94","6,013.13","7,672.62","9,354.15","9,662.32","10,689.21","12,371.06","12,805.60"
Hour_283 in MW,"2,852.32","4,105.51","6,090.68","7,767.48","9,469.80","9,924.94","10,979.74","12,538.32","12,978.74"
Hour_284 in MW,"2,951.08","4,236.09","6,195.03","7,892.56","9,622.29","10,223.81","11,310.37","12,751.92","13,199.84"
Hour_285 in MW,"3,021.68","4,320.82","6,244.82","7,946.39","9,687.93","10,401.97","11,507.46","12,847.15","13,298.42"
Hour_286 in MW,"2,918.19","4,167.46","6,001.50","7,634.44","9,307.61","10,045.17","11,112.74","12,349.17","12,782.95"
Hour_287 in MW,"2,656.91","3,799.41","5,497.49","6,997.79","8,531.42","9,208.28","10,186.91","11,325.19","11,723.00"
Hour_288 in MW,"2,410.33","3,447.35","5,025.67","6,399.84","7,802.43","8,396.45","9,288.80","10,362.92","10,726.92"
Hour_289 in MW,"2,240.20","3,197.79","4,693.92","5,976.16","7,285.90","7,808.12","8,637.95","9,683.33","10,023.46"
Hour_290 in MW,"2,119.68","3,020.74","4,461.32","5,678.58","6,923.10","7,391.31","8,176.84","9,211.20","9,534.75"
Hour_291 in MW,"2,075.59","2,955.27","4,374.93","5,566.83","6,786.86","7,238.85","8,008.17","9,044.52","9,362.21"
Hour_292 in MW,"2,117.69","3,015.53","4,451.47","5,662.15","6,903.07","7,384.40","8,169.19","9,218.08","9,541.87"
Hour_293 in MW,"2,325.79","3,187.20","4,673.22","5,942.09","7,244.36","8,104.02","8,965.30","9,694.95","10,035.49"
Hour_294 in MW,"2,491.10","3,431.14","4,992.54","6,346.18","7,737.01","8,675.66","9,597.69","10,375.82","10,740.28"
Hour_295 in MW,"2,672.82","3,693.46","5,343.72","6,791.06","8,279.39","9,304.05","10,292.85","11,123.81","11,514.54"
Hour_296 in MW,"2,836.41","3,919.11","5,659.20","7,191.01","8,767.00","9,869.74","10,918.67","11,798.15","12,212.57"
Hour_297 in MW,"2,954.68","4,065.63","5,885.80","7,478.53","9,117.52","10,278.71","11,371.10","12,287.98","12,719.60"
Hour_298 in MW,"3,013.92","4,113.32","5,996.70","7,619.59","9,289.50","10,483.55","11,597.72","12,537.38","12,977.76"
Hour_299 in MW,"3,016.37","4,069.14","5,996.27","7,619.76","9,289.71","10,492.02","11,607.08","12,555.41","12,996.43"
Hour_300 in MW,"2,978.38","3,963.57","5,916.50","7,519.61","9,167.62","10,360.62","11,461.71","12,408.60","12,844.46"
Hour_301 in MW,"2,924.86","3,841.15","5,806.11","7,381.01","8,998.64","10,175.52","11,256.95","12,198.40","12,626.88"
Hour_302 in MW,"2,881.62","3,747.51","5,715.60","7,268.03","8,860.89","10,025.99","11,091.52","12,029.89","12,452.45"
Hour_303 in MW,"2,867.68","3,716.25","5,682.16","7,227.84","8,811.90","9,977.74","11,038.14","11,980.46","12,401.28"
Hour_304 in MW,"2,889.63","3,759.42","5,718.70","7,276.85","8,871.65","10,053.63","11,122.10","12,076.94","12,501.15"
Hour_305 in MW,"2,939.72","3,864.06","5,810.08","7,395.82","9,016.69","10,226.84","11,313.72","12,287.69","12,719.30"
Hour_306 in MW,"2,998.06","3,995.85","5,917.37","7,535.32","9,186.76","10,428.55","11,536.87","12,531.53","12,971.71"
Hour_307 in MW,"3,038.35","4,108.72","5,989.17","7,630.11","9,302.33","10,567.89","11,691.01","12,701.33","13,147.47"
Hour_308 in MW,"3,095.92","4,236.93","6,076.84","7,741.81","9,438.51","10,727.85","11,867.97","12,894.41","13,347.34"
Hour_309 in MW,"3,137.54","4,327.48","6,120.54","7,795.47","9,503.93","10,804.86","11,953.17","12,988.81","13,445.05"
Hour_310 in MW,"3,018.02","4,185.43","5,878.59","7,492.84","9,134.97","10,390.21","11,494.45","12,503.84","12,943.05"
Hour_311 in MW,"2,749.10","3,827.34","5,374.82","6,864.27","8,368.65","9,526.35","10,538.79","11,489.51","11,893.09"
Hour_312 in MW,"2,500.84","3,482.42","4,900.03","6,270.45","7,644.69","8,709.05","9,634.62","10,528.91","10,898.75"
Hour_313 in MW,"2,333.36","3,239.03","4,564.46","5,849.75","7,131.78","8,129.88","8,993.89","9,847.56","10,193.46"
Hour_314 in MW,"2,216.84","3,068.03","4,328.44","5,555.55","6,773.10","7,726.89","8,548.08","9,372.84","9,702.07"
Hour_315 in MW,"2,175.31","3,008.46","4,239.04","5,447.55","6,641.44","7,583.29","8,389.21","9,202.73","9,525.98"
Hour_316 in MW,"2,217.35","3,074.45","4,131.53","5,546.98","6,762.66","7,728.62","8,549.99","9,372.01","9,701.21"
Hour_317 in MW,"2,333.87","3,382.15","4,357.25","5,831.33","7,109.33","8,131.57","8,995.77","9,843.75","10,189.52"
Hour_318 in MW,"2,500.53","3,627.69","4,679.93","6,240.11","7,607.70","8,707.88","9,633.32","10,518.65","10,888.12"
Hour_319 in MW,"2,683.74","3,897.20","5,027.11","6,689.93","8,156.10","9,341.38","10,334.16","11,259.82","11,655.33"
Hour_320 in MW,"2,848.94","4,140.38","5,324.85","7,095.02","8,649.97","9,912.64","10,966.13","11,926.52","12,345.45"
Hour_321 in MW,"2,968.93","4,317.65","5,516.08","7,387.84","9,006.97","10,327.58","11,425.16","12,407.88","12,843.71"
Hour_322 in MW,"3,030.01","4,409.02","5,574.31","7,534.35","9,185.58","10,538.76","11,658.79","12,648.02","13,092.29"
Hour_323 in MW,"3,034.39","4,417.73","5,508.95","7,540.05","9,192.54","10,553.90","11,675.53","12,656.03","13,100.58"
Hour_324 in MW,"2,998.41","4,367.53","5,360.98","7,445.50","9,077.27","10,429.47","11,537.88","12,498.46","12,937.48"
Hour_325 in MW,"2,946.98","4,294.65","5,190.30","7,312.52","8,915.14","10,251.61","11,341.12","12,276.79","12,708.02"
Hour_326 in MW,"2,905.90","4,236.61","5,058.26","7,205.13","8,784.22","10,109.51","11,183.92","12,096.16","12,521.05"
Hour_327 in MW,"2,894.15","4,221.06","5,010.05","7,170.49","8,741.98","10,068.87","11,138.96","12,033.97","12,456.67"
Hour_328 in MW,"2,918.33","4,257.57","5,061.89","7,224.97","8,808.40","10,152.49","11,231.46","12,117.13","12,542.75"
Hour_329 in MW,"2,970.69","4,334.85","5,196.39","7,349.28","8,959.95","10,333.51","11,431.72","12,314.03","12,746.57"
Hour_330 in MW,"3,031.28","4,423.89","5,367.42","7,493.97","9,136.35","10,543.04","11,663.52","12,543.55","12,984.15"
Hour_331 in MW,"3,073.83","4,486.45","5,513.10","7,593.77","9,258.02","10,690.17","11,826.29","12,698.61","13,144.66"
Hour_332 in MW,"3,129.26","4,559.36","5,665.99","7,701.02","9,388.78","10,845.14","11,997.73","12,861.68","13,313.45"
Hour_333 in MW,"3,172.72","4,607.78","5,770.58","7,757.98","9,458.22","10,927.96","12,089.35","12,938.59","13,393.07"
Hour_334 in MW,"3,057.87","4,439.95","5,577.88","7,464.79","9,100.78","10,527.78","11,646.64","12,446.34","12,883.52"
Hour_335 in MW,"2,792.82","4,068.62","5,104.44","6,844.41","8,344.44","9,676.89","10,705.32","11,423.08","11,824.33"
Hour_336 in MW,"2,546.94","3,719.59","4,642.58","6,255.40","7,626.34","8,868.05","9,810.52","10,448.51","10,815.52"
Hour_337 in MW,"2,381.36","3,477.95","4,310.16","5,838.05","7,117.52","8,295.41","9,177.03","9,751.27","10,093.80"
Hour_338 in MW,"2,266.60","3,310.10","4,075.24","5,546.85","6,762.50","7,898.58","8,738.02","9,260.72","9,586.01"
Hour_339 in MW,"2,226.73","3,251.02","3,990.33","5,441.50","6,634.06","7,760.69","8,585.47","9,074.89","9,393.66"
Hour_340 in MW,"2,270.28","3,313.14","4,074.44","5,312.86","6,477.23","7,911.26","8,752.04","9,228.65","9,552.82"
Hour_341 in MW,"2,388.17","3,483.28","4,308.29","5,606.80","6,835.59","8,318.92","9,203.03","9,685.13","10,025.32"
Hour_342 in MW,"2,556.03","3,725.98","4,639.26","6,023.42","7,343.52","8,899.37","9,845.17","10,345.08","10,708.46"
Hour_343 in MW,"2,740.26","3,992.37","4,994.88","6,470.74","7,888.87","9,536.42","10,549.92","11,071.72","11,460.62"
Hour_344 in MW,"2,906.30","4,232.17","5,301.13","6,854.85","8,357.16","10,110.58","11,185.10","11,724.34","12,136.16"
Hour_345 in MW,"3,026.94","4,405.81","5,500.95","7,103.30","8,660.06","10,527.74","11,646.60","12,192.15","12,620.41"
Hour_346 in MW,"3,088.45","4,493.34","5,567.79","7,182.45","8,756.56","10,740.45","11,881.91","12,419.35","12,855.59"
Hour_347 in MW,"3,093.06","4,498.01","5,511.03","7,104.20","8,661.16","10,756.37","11,899.53","12,415.06","12,851.15"
Hour_348 in MW,"3,057.10","4,443.59","5,371.61","6,920.54","8,437.24","10,631.98","11,761.92","12,245.91","12,676.05"
Hour_349 in MW,"3,005.45","4,366.34","5,209.41","6,707.46","8,177.47","10,453.38","11,564.34","12,013.43","12,435.41"
Hour_350 in MW,"2,963.93","4,303.80","5,085.73","6,542.81","7,976.73","10,309.76","11,405.46","11,822.80","12,238.09"
Hour_351 in MW,"2,951.51","4,283.63","5,045.73","6,483.91","7,904.93","10,266.80","11,357.92","11,751.49","12,164.28"
Hour_352 in MW,"2,974.79","4,315.45","5,105.60","6,551.34","7,987.14","10,347.28","11,446.96","11,826.45","12,241.86"
Hour_353 in MW,"3,026.00","4,387.96","5,247.92","6,723.04","8,196.46","10,524.35","11,642.85","12,016.09","12,438.17"
Hour_354 in MW,"3,085.22","4,472.22","5,426.53","6,940.43","8,461.50","10,729.13","11,869.39","12,239.35","12,669.27"
Hour_355 in MW,"3,126.23","4,530.06","5,579.62","7,125.13","8,686.67","10,870.89","12,026.22","12,389.41","12,824.60"
Hour_356 in MW,"3,191.42","4,613.65","5,759.35","7,339.45","8,947.96","11,053.32","12,228.04","12,588.05","13,030.21"
Hour_357 in MW,"3,233.44","4,658.57","5,872.55","7,467.02","9,103.50","11,132.75","12,315.90","12,666.28","13,111.19"
Hour_358 in MW,"3,109.64","4,477.30","5,675.09","7,206.24","8,785.57","10,705.94","11,843.74","12,149.98","12,576.76"
Hour_359 in MW,"2,837.47","4,094.85","5,199.01","6,597.64","8,043.58","9,831.43","10,876.29","11,108.16","11,498.34"
Hour_360 in MW,"2,587.88","3,739.70","4,740.49","6,008.86","7,325.76","9,009.19","9,966.66","10,128.99","10,484.78"
Hour_361 in MW,"2,419.39","3,493.66","4,413.21","5,582.85","6,806.40","8,426.50","9,322.04","9,433.04","9,764.39"
Hour_362 in MW,"2,301.54","3,321.55","4,182.99","5,280.02","6,437.19","8,018.96","8,871.19","8,944.88","9,259.08"
Hour_363 in MW,"2,258.40","3,258.36","4,102.34","5,167.02","6,299.43","7,869.75","8,706.13","8,762.54","9,070.33"
Hour_364 in MW,"2,298.50","3,316.55","4,190.26","5,268.01","6,422.55","8,008.43","8,859.54","8,542.83","8,842.90"
Hour_365 in MW,"2,412.80","3,482.95","4,602.87","5,558.55","6,776.77","8,403.66","9,296.77","9,017.58","9,334.32"
Hour_366 in MW,"2,576.93","3,722.12","4,931.71","5,971.91","7,280.72","8,971.19","9,924.63","9,694.62","10,035.15"
Hour_367 in MW,"2,757.29","3,985.19","5,292.55","6,416.13","7,822.29","9,594.89","10,614.61","10,423.02","10,789.13"
Hour_368 in MW,"2,919.36","4,221.91","5,617.82","6,797.34","8,287.05","10,155.31","11,234.59","11,048.67","11,436.77"
Hour_369 in MW,"3,035.93","4,392.71","5,854.27","7,043.12","8,586.70","10,558.41","11,680.52","11,452.73","11,855.01"
Hour_370 in MW,"3,093.30","4,477.65","5,975.09","7,119.87","8,680.26","10,756.77","11,899.97","11,579.97","11,986.72"
Hour_371 in MW,"3,093.70","4,479.97","5,984.61","7,039.50","8,582.29","10,758.14","11,901.48","11,449.94","11,852.12"
Hour_372 in MW,"3,053.48","4,423.47","5,914.79","6,854.04","8,356.18","10,619.03","11,747.59","11,147.97","11,539.55"
Hour_373 in MW,"2,997.55","4,344.41","5,814.34","6,639.52","8,094.64","10,425.62","11,533.62","10,798.82","11,178.14"
Hour_374 in MW,"2,951.73","4,280.32","5,733.71","6,473.79","7,892.59","10,267.15","11,358.31","10,530.22","10,900.10"
Hour_375 in MW,"2,935.03","4,258.87","5,710.07","6,414.21","7,819.95","10,209.36","11,294.39","10,436.27","10,802.85"
Hour_376 in MW,"2,954.04","4,289.67","5,756.33","6,481.38","7,901.84","10,275.12","11,367.13","10,550.72","10,921.32"
Hour_377 in MW,"3,001.04","4,361.44","5,857.29","6,653.23","8,111.36","10,437.61","11,546.89","10,837.32","11,217.99"
Hour_378 in MW,"3,056.11","4,445.19","5,974.00","6,871.23","8,377.14","10,628.02","11,757.53","11,199.94","11,593.34"
Hour_379 in MW,"3,092.98","4,502.70","6,055.07","7,056.87","8,603.45","10,755.50","11,898.56","11,509.65","11,913.93"
Hour_380 in MW,"3,151.33","4,582.48","6,159.28","7,266.65","8,859.22","10,915.81","12,075.91","11,855.20","12,271.63"
Hour_381 in MW,"3,189.42","4,627.44","6,212.51","7,395.81","9,016.68","10,981.22","12,148.27","12,066.17","12,490.00"
Hour_382 in MW,"3,063.52","4,448.79","5,975.02","7,140.92","8,705.92","10,546.13","11,666.94","11,653.21","12,062.54"
Hour_383 in MW,"2,788.87","4,068.56","5,476.39","6,537.90","7,970.75","9,662.79","10,689.72","10,675.20","11,050.17"
