,Date,Hour,AKL,BOP,CAN,CEN,HBY,NEL,NIS,OTG,TRN,WEL,WTO,timestamp
4734,17/07/20,7,1.018921,0.3279455,0.7863965,0.240015,0.2330525,0.1564545,0.203086,1.0186525,0.094065,0.3881965,0.380704,t4735
4735,17/07/20,8,1.2001565,0.3839975,0.929205,0.2839585,0.2719045,0.1933625,0.2562485,1.1065585,0.1096905,0.4855765,0.452812,t4736
4736,17/07/20,9,1.2965765,0.4071325,0.973853,0.308511,0.2931955,0.2091525,0.28427,1.1406955,0.118465,0.53258,0.4758115,t4737
4737,17/07/20,10,1.293116,0.4126625,0.9696155,0.307954,0.296193,0.2092485,0.288455,1.1358715,0.1173375,0.528977,0.481624,t4738
4738,17/07/20,11,1.249434,0.4047985,0.9662425,0.297643,0.2938085,0.2019025,0.283101,1.127239,0.1114825,0.5054245,0.4771255,t4739
4739,17/07/20,12,1.2202475,0.394885,0.9218355,0.28877,0.2915,0.1993785,0.2784915,1.125741,0.1123855,0.4883855,0.4602955,t4740
4740,17/07/20,13,1.2105075,0.378493,0.878648,0.281189,0.2895175,0.184079,0.276475,1.0953735,0.1067075,0.474018,0.4467595,t4741
4741,17/07/20,14,1.1884585,0.3720025,0.857389,0.275105,0.2820445,0.1712225,0.270688,1.088566,0.103558,0.4642535,0.432706,t4742
4742,17/07/20,15,1.1756085,0.3727045,0.8252105,0.273826,0.278888,0.165987,0.2695685,1.0629615,0.1022575,0.458472,0.4230945,t4743
4743,17/07/20,16,1.177833,0.371828,0.832925,0.278917,0.281371,0.166253,0.280365,1.0590575,0.1085145,0.4642765,0.4329735,t4744
4744,17/07/20,17,1.220953,0.384305,0.88138,0.292536,0.2890695,0.1752055,0.2973885,1.087353,0.1123715,0.490864,0.450103,t4745
4745,17/07/20,18,1.324226,0.4176735,0.9647905,0.3182725,0.303711,0.198067,0.320489,1.1527615,0.122643,0.547194,0.481114,t4746
4746,17/07/20,19,1.3286185,0.391759,0.976773,0.318687,0.305256,0.2036965,0.326612,1.1667275,0.1221185,0.5551085,0.4873645,t4747
4747,17/07/20,20,1.279341,0.3847235,0.9369895,0.303876,0.2888755,0.194546,0.3114085,1.154397,0.1132905,0.5250495,0.458352,t4748
4748,17/07/20,21,1.198451,0.3844715,0.8857945,0.283474,0.271806,0.1813205,0.291355,1.1271825,0.105481,0.4916555,0.4334975,t4749
4749,17/07/20,22,1.105881,0.364848,0.8303655,0.261282,0.251414,0.165702,0.2588045,1.1000185,0.098152,0.4535325,0.4140705,t4750
4750,17/07/20,23,0.9949905,0.3486525,0.755977,0.2304475,0.2276855,0.145696,0.217002,1.0439755,0.0882655,0.391465,0.367947,t4751
4751,17/07/20,24,0.883335,0.323675,0.721674,0.210151,0.205499,0.1353065,0.183186,1.015433,0.081605,0.345016,0.3223795,t4752
4752,18/07/20,1,0.791087,0.302987,0.662901,0.191405,0.1910835,0.122003,0.1595255,0.972618,0.076965,0.2981215,0.2895825,t4753
4753,18/07/20,2,0.742856,0.288118,0.6068925,0.1805645,0.1825715,0.11326,0.1470135,0.94121,0.075085,0.2687125,0.272997,t4754
4754,18/07/20,3,0.707542,0.2784365,0.558277,0.174489,0.172771,0.1078865,0.138788,0.924704,0.0731575,0.2530675,0.264391,t4755
4755,18/07/20,4,0.692966,0.275582,0.5294215,0.170382,0.1649465,0.10576,0.134315,0.918227,0.0723395,0.246707,0.2613675,t4756
4756,18/07/20,5,0.6991755,0.2768895,0.5236725,0.1684005,0.164943,0.105513,0.1335905,0.9186385,0.0722145,0.2474275,0.2630175,t4757
4757,18/07/20,6,0.731665,0.2851315,0.5424365,0.1751255,0.1717525,0.1092065,0.1421345,0.9301755,0.0695565,0.2596495,0.2774975,t4758
4758,18/07/20,7,0.7903905,0.3083995,0.596326,0.195065,0.1844885,0.120446,0.1623715,0.961611,0.0762805,0.2896545,0.317868,t4759
4759,18/07/20,8,0.889787,0.341546,0.67002,0.220751,0.206533,0.139694,0.195876,1.0057465,0.0871655,0.336821,0.362061,t4760
4760,18/07/20,9,0.981879,0.379188,0.7829785,0.24509,0.231251,0.164306,0.2337805,1.0786565,0.0979535,0.39264,0.3967895,t4761
4761,18/07/20,10,1.0852175,0.4006125,0.8485755,0.2564185,0.251959,0.1734275,0.256247,1.1046945,0.1019835,0.4298855,0.406608,t4762
4762,18/07/20,11,1.0987695,0.3981335,0.8510955,0.25231,0.2528695,0.167207,0.257296,1.1212875,0.100088,0.43368,0.3953495,t4763
4763,18/07/20,12,1.071492,0.3853825,0.8343205,0.2449995,0.236564,0.1549495,0.248619,1.0952895,0.0986785,0.4212655,0.376075,t4764
4764,18/07/20,13,1.030471,0.37387,0.8154605,0.2403765,0.2329405,0.1469485,0.241964,1.0671055,0.0959715,0.4096115,0.356728,t4765
4765,18/07/20,14,0.9916625,0.367771,0.8014475,0.236242,0.234708,0.1411565,0.2317475,1.01102,0.0924115,0.40354,0.343462,t4766
4766,18/07/20,15,0.954543,0.3600925,0.773932,0.2338005,0.2395355,0.1389755,0.225355,1.005646,0.091194,0.402457,0.3363835,t4767
4767,18/07/20,16,0.9537365,0.36115,0.7666715,0.239564,0.2406255,0.14229,0.2317995,1.0005755,0.0940445,0.415403,0.35055,t4768
4768,18/07/20,17,1.001715,0.3518145,0.805307,0.2592165,0.2505145,0.156748,0.2526265,1.03078,0.1025085,0.4495115,0.3736345,t4769
4769,18/07/20,18,1.1096635,0.388599,0.889394,0.2918215,0.267869,0.180772,0.2922785,1.104666,0.115671,0.5054855,0.4154625,t4770
4770,18/07/20,19,1.153894,0.3955805,0.899056,0.272632,0.2675605,0.181544,0.3044865,1.1315175,0.1147535,0.508408,0.426531,t4771
4771,18/07/20,20,1.1089175,0.373642,0.846923,0.256354,0.25297,0.167024,0.2854565,1.1020555,0.105562,0.4732665,0.402642,t4772
4772,18/07/20,21,1.047949,0.3697555,0.787731,0.2467875,0.237824,0.1546895,0.255164,1.0755125,0.0981965,0.4369395,0.3822705,t4773
4773,18/07/20,22,0.9916425,0.3665835,0.7465095,0.2349705,0.226725,0.143735,0.230458,1.0521365,0.091875,0.4094745,0.3619795,t4774
4774,18/07/20,23,0.90069,0.3400195,0.696441,0.2155755,0.208977,0.1273885,0.1999175,0.997038,0.08675,0.361098,0.324093,t4775
4775,18/07/20,24,0.8129485,0.3195355,0.677123,0.199673,0.191172,0.1208405,0.172461,0.978677,0.0819895,0.3232325,0.2924795,t4776
4776,19/07/20,1,0.7412865,0.2991825,0.6277735,0.183754,0.178776,0.109036,0.15162,0.945826,0.0755745,0.2808745,0.2673165,t4777
4777,19/07/20,2,0.690409,0.278979,0.573598,0.173406,0.1714445,0.1015655,0.139291,0.9165615,0.0716025,0.2537965,0.2512355,t4778
4778,19/07/20,3,0.666151,0.266846,0.529139,0.1652375,0.1643095,0.095141,0.1334895,0.899895,0.069058,0.238452,0.242171,t4779
4779,19/07/20,4,0.64916,0.2719285,0.501335,0.1631425,0.1626745,0.09252,0.128483,0.893249,0.0677445,0.2315445,0.2389495,t4780
4780,19/07/20,5,0.6460855,0.273445,0.491937,0.163899,0.162435,0.095519,0.1307945,0.895039,0.0675145,0.230362,0.238392,t4781
4781,19/07/20,6,0.6703545,0.278463,0.505308,0.1692775,0.1663495,0.099087,0.1390565,0.9028125,0.0698215,0.239052,0.252363,t4782
4782,19/07/20,7,0.7183405,0.266072,0.5400435,0.185698,0.177017,0.1082675,0.156607,0.929193,0.0729425,0.2625055,0.286134,t4783
4783,19/07/20,8,0.7892305,0.288238,0.590938,0.2071085,0.1939765,0.124991,0.1862445,0.965988,0.0782015,0.299198,0.322949,t4784
4784,19/07/20,9,0.9012465,0.323194,0.691573,0.2298495,0.2164265,0.147761,0.2240155,1.0348055,0.085815,0.35465,0.356851,t4785
4785,19/07/20,10,0.995188,0.340648,0.7700495,0.2368305,0.2335385,0.164451,0.2491695,1.08335,0.0900255,0.3900235,0.3747205,t4786
4786,19/07/20,11,1.018478,0.3412555,0.7836005,0.233253,0.2365585,0.168244,0.252205,1.0778105,0.088559,0.3901155,0.3689495,t4787
4787,19/07/20,12,0.998764,0.331615,0.76779,0.229174,0.2279,0.1635375,0.2450305,1.052704,0.0853385,0.3792475,0.3588955,t4788
4788,19/07/20,13,0.984066,0.322577,0.7501415,0.220377,0.223152,0.156074,0.2383145,1.0240245,0.0822595,0.369122,0.34909,t4789
4789,19/07/20,14,0.9501955,0.313425,0.7255855,0.2102815,0.2153515,0.150057,0.228081,0.9941005,0.0777705,0.3631475,0.34903,t4790
4790,19/07/20,15,0.926339,0.303274,0.693727,0.209484,0.2089805,0.146927,0.223034,0.9747575,0.075792,0.3541115,0.334038,t4791
4791,19/07/20,16,0.926203,0.3032365,0.681944,0.2120815,0.2090795,0.147754,0.229547,0.9734395,0.0806515,0.356178,0.341692,t4792
4792,19/07/20,17,0.969117,0.3288825,0.726848,0.228617,0.230928,0.159466,0.254101,1.0063745,0.0876625,0.405164,0.3645585,t4793
4793,19/07/20,18,1.125436,0.3846525,0.8550195,0.275156,0.248506,0.1835805,0.300076,1.0939175,0.1060635,0.4937295,0.4160605,t4794
4794,19/07/20,19,1.197279,0.4097085,0.904197,0.287479,0.2283405,0.188735,0.3168295,1.1344495,0.112639,0.521819,0.4439225,t4795
4795,19/07/20,20,1.176554,0.392898,0.861673,0.272284,0.222748,0.1759145,0.3022665,1.1140785,0.1052525,0.4979585,0.4235185,t4796
4796,19/07/20,21,1.111664,0.371842,0.809374,0.255915,0.215063,0.1640975,0.281486,1.091832,0.099438,0.4664305,0.400682,t4797
4797,19/07/20,22,1.032557,0.342551,0.749914,0.233208,0.1963095,0.1486395,0.2444,1.0543585,0.0928395,0.424365,0.381299,t4798
4798,19/07/20,23,0.9186035,0.301946,0.6758275,0.2047305,0.1811145,0.128132,0.201657,0.9826505,0.081256,0.3568725,0.3346225,t4799
4799,19/07/20,24,0.807896,0.2790475,0.6469955,0.1860345,0.150065,0.1179695,0.170327,0.9570755,0.0761955,0.310633,0.2962395,t4800
4800,20/07/20,1,0.733406,0.261446,0.600387,0.1703405,0.123683,0.106334,0.1518695,0.9257405,0.0751065,0.271127,0.2728235,t4801
4801,20/07/20,2,0.6948045,0.251742,0.556741,0.163489,0.141849,0.0982115,0.1427305,0.902722,0.0723495,0.2509235,0.2595395,t4802
4802,20/07/20,3,0.6789865,0.2459105,0.5192645,0.1608535,0.151679,0.0937385,0.139023,0.890151,0.0714485,0.240305,0.252381,t4803
4803,20/07/20,4,0.6739695,0.2390495,0.501325,0.1600035,0.154418,0.0939325,0.1375425,0.888403,0.0710785,0.2392025,0.2500445,t4804
4804,20/07/20,5,0.6956115,0.2468655,0.5096495,0.16546,0.161685,0.098723,0.1410105,0.897116,0.073359,0.2508665,0.2564005,t4805
4805,20/07/20,6,0.802596,0.266527,0.571854,0.1853935,0.179579,0.115745,0.162606,0.9284465,0.081463,0.2902685,0.292661,t4806
4806,20/07/20,7,1.0247345,0.3355625,0.733119,0.233589,0.213688,0.151763,0.214425,1.017013,0.0977385,0.3903725,0.3780365,t4807
4807,20/07/20,8,1.263638,0.403496,0.90477,0.288362,0.262384,0.199886,0.2779085,1.132123,0.1182955,0.512265,0.464826,t4808
4808,20/07/20,9,1.302151,0.399586,0.946177,0.300749,0.276386,0.2125575,0.282901,1.1596715,0.118886,0.5383625,0.46623,t4809
4809,20/07/20,10,1.264887,0.361037,0.915021,0.2864715,0.2744325,0.198717,0.2666835,1.149,0.111556,0.50094,0.447864,t4810
4810,20/07/20,11,1.2453985,0.3555755,0.856744,0.268185,0.2689325,0.182908,0.2561855,1.1246365,0.105034,0.4639385,0.4424665,t4811
4811,20/07/20,12,1.223503,0.3487085,0.798715,0.258003,0.2646865,0.1711675,0.2485755,1.1046325,0.1015,0.4358745,0.4390675,t4812
4812,20/07/20,13,1.1932525,0.3436375,0.777646,0.2515625,0.262823,0.1626195,0.2429215,1.08642,0.10089,0.4164315,0.4329125,t4813
4813,20/07/20,14,1.1640455,0.340465,0.762991,0.2444725,0.252316,0.1574625,0.233211,1.0680095,0.0990935,0.40532,0.4215365,t4814
4814,20/07/20,15,1.1348325,0.342789,0.7318885,0.238976,0.242257,0.1565685,0.229584,1.0620345,0.097742,0.3920815,0.416143,t4815
4815,20/07/20,16,1.13657,0.349473,0.735259,0.2419885,0.2476915,0.1593175,0.234363,1.0713895,0.102991,0.397692,0.4346795,t4816
4816,20/07/20,17,1.188497,0.367969,0.805263,0.257107,0.271228,0.174397,0.256099,1.107386,0.110168,0.435427,0.466661,t4817
4817,20/07/20,18,1.319177,0.4079485,0.924181,0.2908485,0.2891235,0.2000665,0.300469,1.16402,0.123294,0.511863,0.4958215,t4818
